qty,price,day1,day2,day3,day4,day5,day6,day7,date
1,1.000,1,0,0,0,0,0,0,2021-05-31
2,1.000,0,0,1,0,0,0,0,2021-06-02
1,1.000,0,0,1,0,0,0,0,2021-06-02
1,1.000,0,0,0,1,0,0,0,2021-06-03
1,1.000,0,0,0,0,1,0,0,2021-06-18
2,1.000,0,0,0,0,1,0,0,2021-06-18
1,1.000,0,0,0,0,1,0,0,2021-06-25
1,1.000,0,1,0,0,0,0,0,2021-07-06
1,1.000,1,0,0,0,0,0,0,2021-07-12
1,1.000,1,0,0,0,0,0,0,2021-07-12
1,1.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,1,0,0,0,0,0,2021-07-13
2,1.000,0,1,0,0,0,0,0,2021-07-13
2,1.000,0,1,0,0,0,0,0,2021-07-13
2,1.000,0,1,0,0,0,0,0,2021-07-13
1,0.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,1,0,0,0,0,0,2021-07-13
2,1.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,1,0,0,0,0,0,2021-07-13
2,1.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,1,0,0,0,0,0,2021-07-13
1,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
4,1.000,0,0,1,0,0,0,0,2021-07-14
3,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
4,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
3,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
3,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
4,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
3,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
4,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
2,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
3,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,1,0,0,0,0,2021-07-14
1,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
2,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
2,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
2,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
3,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
3,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
3,1.000,0,0,0,1,0,0,0,2021-07-15
2,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
3,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
2,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
2,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
2,1.000,0,0,0,1,0,0,0,2021-07-15
1,1.000,0,0,0,1,0,0,0,2021-07-15
